input,type,filename
/file/supported_file/JPEG file/THE CONVERSIONPROCESS ISCOMPLETEYOUCAN EITHER DOWNLOADEACH.JPEG,image/jpeg,THE CONVERSIONPROCESS ISCOMPLETEYOUCAN EITHER DOWNLOADEACH.JPEG
/file/supported_file/JPEG file/Вы говорите по-английски-langue d’oïl-C'est très gentil-男は振り回されて夢中になる--learn definitions for words or discover more synonyms.jpeg,image/jpeg,Вы говорите по-английски-langue d’oïl-C'est très gentil-男は振り回されて夢中になる--learn definitions for words or discover more synonyms.jpeg
/file/supported_file/JPEG file/用言の連用形の用法の一。文をいったん中止し、また次に続ける言い方 文をいったん中止し sample file.jpeg,image/jpeg,用言の連用形の用法の一。文をいったん中止し、また次に続ける言い方 文をいったん中止し sample file.jpeg
/file/supported_file/JPEG file/調剤明細書sample_single.jpeg,image/jpeg,調剤明細書sample_single.jpeg
/file/supported_file/JPEG file/&^^%#$.jpeg,image/jpeg,&^^%#$.jpeg
/file/supported_file/JPG file/DIRECTLY UPLOAD YOUR FILE INTO THE TOOLBOX ABOVE TO CONVERT YOUR MICROSOFT WORD DOCUMENT TO PDF.JPG,image/jpeg,DIRECTLY UPLOAD YOUR FILE INTO THE TOOLBOX ABOVE TO CONVERT YOUR MICROSOFT WORD DOCUMENT TO PDF.JPG
/file/supported_file/JPG file/(!_$%&()_+...)#$%^&.jpg,image/jpeg,(!_$%&()_+...)#$%^&.jpg
/file/supported_file/JPG file/2143_診療日.jpg,image/jpeg,2143_診療日.jpg
/file/supported_file/PNG file/20220425㈪_6_10_R4.PNG,image/png,20220425㈪_6_10_R4.PNG
/file/supported_file/PNG file/(!_$%&()_+...).png,image/tiff,(!_$%&()_+...).png
/file/supported_file/Tif file/sample_multi_tif.tif,image/tiff,sample_multi_tif.tif
/file/supported_file/Tif file/sample_single.tif,image/tiff,sample_single.tif
/file/supported_file/Tiff file/FINGER POINTING AT OTHERS THREE FINGERS POINTING BACK TO YOURSELF FINGER POINTING .tiff,image/tiff,FINGER POINTING AT OTHERS THREE FINGERS POINTING BACK TO YOURSELF FINGER POINTING .tiff
/file/supported_file/Tiff file/!@%%^&()_.TIFF,image/tiff,!@%%^&()_.TIFF
/file/sample_file/注文書サンプルA.pdf,application/pdf,注文書サンプルA.pdf
